price,qty,side
99.99,5,S
99.99,42,S
99.99,106,B
99.98,47,S
99.95,31,S
99.93,48,B
99.96,61,B
99.96,33,B
99.98,17,S
99.98,19,S
99.97,17,S
99.98,44,B
99.94,47,B
99.91,132,B
99.9,135,S
99.91,33,B
99.91,12,B
99.93,117,B
99.9,41,B
99.92,134,S
99.92,8,S
99.93,13,B
99.98,18,S
99.95,76,S
100,6,B
99.99,1,B
100,25,S
100.01,22,S
100.04,8,S
100.03,77,S
100.02,6,B
99.98,29,B
100.02,7,S
100,1,S
99.98,8,S
99.94,11,S
99.91,187,S
99.95,37,B
99.98,29,S
100.02,15,S
100.05,9,S
100.04,1,B
100.05,1,S
100.05,14,B
100.04,37,B
100.04,28,S
99.99,45,B
100.01,36,B
99.98,89,S
99.94,46,S
99.95,26,B
99.99,41,B
99.97,21,B
99.93,9,B
99.9,4,B
99.87,37,S
99.83,13,S
99.79,23,S
99.83,122,B
99.85,34,S
99.82,91,B
99.84,2,S
99.87,43,S
99.89,64,B
99.86,179,B
99.9,41,S
99.86,68,S
99.87,5,S
99.89,11,S
99.9,27,S
99.9,44,S
99.94,40,S
99.93,6,S
99.96,3,S
99.95,16,B
99.98,176,B
99.99,48,B
100,172,B
99.97,2,B
100.01,49,S
100.05,27,S
100.08,156,B
100.06,14,S
100.08,22,S
100.07,68,S
100.05,37,S
100.04,3,S
99.99,106,S
99.95,8,S
99.94,19,B
99.97,38,S
100.01,23,B
99.98,49,S
99.99,16,B
99.97,40,B
99.93,5,B
99.91,55,S
99.89,88,B
99.93,31,S
99.93,22,S
99.89,31,B
99.87,49,B
99.89,26,S
99.93,2,S
99.89,28,B
99.89,23,S
99.91,12,B
99.9,13,S
99.88,14,B
99.84,92,B
99.85,22,S
99.81,11,S
99.82,46,B
99.78,18,B
99.75,13,B
99.78,14,B
99.78,4,S
99.79,11,S
99.76,28,B
99.76,54,S
99.76,122,S
99.71,58,B
99.67,50,B
99.63,4,S
99.61,92,S
99.61,1,S
99.61,16,B
99.66,184,B
99.67,93,S
99.64,54,S
99.64,25,B
99.68,87,B
99.67,8,S
99.63,25,S
99.68,18,B
99.63,32,B
99.67,46,B
99.63,38,S
99.62,4,B
99.65,16,S
99.69,105,B
99.68,60,B
99.64,18,S
99.63,29,B
99.64,5,S
99.61,8,S
99.64,47,B
99.62,71,B
99.62,71,S
99.63,146,S
99.67,13,B
99.65,13,B
99.64,33,B
99.64,97,S
99.66,92,B
99.71,86,S
99.73,20,B
99.71,12,B
99.72,113,S
99.71,30,S
99.74,30,B
99.69,8,B
99.67,229,B
99.62,80,S
99.64,10,S
99.66,9,S
99.61,67,B
99.65,19,B
99.68,13,B
99.65,61,B
99.68,32,B
99.64,1,B
99.63,82,S
99.6,30,B
99.62,53,B
99.58,87,B
99.56,40,S
99.58,58,S
99.6,4,B
99.56,93,S
99.56,11,B
99.56,107,S
99.6,26,B
99.61,31,B
99.65,40,B
99.7,26,B
99.68,30,B
99.67,49,B
99.72,43,S
99.71,21,S
99.72,5,B
99.73,61,S
99.68,39,S
99.64,36,S
99.67,5,S
99.66,37,S
99.62,82,S
99.66,5,S
99.65,72,B
99.66,49,S
99.68,15,B
99.71,8,B
99.68,47,B
99.73,7,S
99.74,88,B
99.78,41,B
99.75,122,B
99.71,61,B
99.72,107,B
99.67,109,S
99.71,164,B
99.75,47,S
99.78,10,S
99.74,23,B
99.77,57,B
99.78,40,B
99.74,18,B
99.69,51,B
99.74,51,B
99.72,202,S
99.74,3,S
99.78,35,S
99.77,15,B
99.81,22,B
99.79,7,S
99.83,78,S
99.84,74,S
99.84,121,S
99.88,10,B
99.86,85,B
99.89,23,S
99.85,167,S
99.82,37,B
99.79,1,B
99.8,57,B
99.84,51,B
99.81,70,S
99.83,43,B
99.87,102,B
99.9,44,B
99.91,33,S
